N°,Couleur,inventaire,Format,Etagère,"valeur stock(€)",Région,Appellation,Domaine,Cuvée,Millésime,Date d'achat,Fournisseur,Qté,Prix unitaire (€),franc,"Prix total (€)",boire à partir de,apogée début,apogée fin,boire avant,Commentaires,Cote unitaire,Cote Totale
759,,3,,A4,74,Bordeaux,Pessac-Léognan,Domaine de Chevalier,,2016,20170610,Duclot,3,24.7,,74,,2025,2040,2045,primeur livraison prévue 1er semestre 2019,,
761,,2,2,Bo1,27,Beaujolais ,Morgon,Domaine Chamonard,Le Clos des Lys,2015,20170627,Carré des vins,2,13.3,,27,,2022,2032,2037+,,,
760,,1,2,Bo1,12,Beaujolais ,Morgon,Domaine Marcel Lapierre,,2016,20170627,Carré des vins,1,12.3,,12,,2019,2027,2029+,,,
762,,12,,S4,31,Bordeaux,Médoc,Château Fleur La Mothe,,2016,20170703,au Domaine,12,2.6,,31,,2021,2030,2032,Primeur 2016 via Antoine Guigon,,
763,B,2,,D16,46,Jura,Château-Chalon,Domaine Jean Macle,,2008,20170725,Carré des vins,2,23.0,,46,,2028,2048,2068+,,,
764,,3,2,B5,71,Bordeaux,Saint-Emilion,Château Soutard,,2015,20170807,au Domaine,3,23.7,,71,,2025,2035,2040,primeur 2015,,
770,,6,,A3,120,Rhône,IGP Alpilles,Domaine de Trévallon,,2009,20170812,Carré des vins,2,20.0,,40,2017,2019,2030,2039,,,
774,,2,,M2,13,Beaujolais ,Morgon,Domaine Jean-Marc Burgaud,Javenières,2015,20170827,1jour1vin,2,6.5,,13,2017,2018,2023,2024+,,,
775,,4,,M2,29,Beaujolais ,Morgon,Domaine Jean-Marc Burgaud,James,2015,20170827,1jour1vin,4,7.3,,29,2017,2018,2024,2025+,,,
773,B,1,,Bo3,11,Provence,Palette,Château Simone ,,2014,20170827,1jour1vin,3,10.6,,32,2017,2018,2023,2024,,,
777,B,3,,L2,27,Bordeaux,Pessac-Léognan,Château Larrivet-Haut-Brion,,2014,20170906,Intermarché,6,9.0,,54,2017,2018,2025,2027,Foire aux Vins,,
776,,5,,J3,24,Bordeaux,Saint-Emilion,Château Simard,,2009,20170906,Intermarché,6,4.8,,29,2014,2017,2020,2021,Foire aux Vins,,
778,,4,,M1,15,Loire,Pouilly-fumé,Domaine Bertrand Jeannot Père &Fils,,2015,20170909,Domaine,6,3.7,,22,2017,2018,2022,2023,Acheté via Antoine Guigon,,
778.1,B,0,,S1,0,Loire,Pouilly sur Loire,Domaine Bertrand Jeannot Père &Fils,Vieilles vignes,2016,20170909,Domaine,6,2.2,,13,,2018,2022,2023,Acheté via Antoine Guigon,,
779,,2,,M5,68,Bourgogne,Clos de Vougeot,Domaine Laurent Roumier,,2015,20170916,Idealwine,2,34.0,,68,2020,2025,2035,2040+,,,
780,,1,,Bo5,18,Bourgogne,Gevrey-Chambertin,Domaine René Bouvier,Racines du temps,2015,20170921,Carré des vins,1,18.0,,18,2018,2020,2035,2040+,,,
781,,2,,Bo5,53,Bourgogne,Gevrey-Chambertin,Domaine René Bouvier,"1er cru ""Les Fontenys""",2015,20170921,Carré des vins,2,26.6,,53,2018,2020,2035,2045,,,
783,B,2,,Bo5,86,Bourgogne,Chambolle-Musigny,Domaine Jean-Marie Fourrier,"1er cru ""Les Echanges""",2015,20171014,Carré des vins,2,43.0,,86,2020,2025,2035,2040+,,,
784,,1,,T1,3,Languedoc,IGP Collines Rhodaniennes,Domaine Michel&Stéphane Ogier,Syrah d'Ogier,2015,20171015,Idealwine,1,3.3,,3,2017,2018,2022,2025,,,
785,B,2,,Bo5,53,Bourgogne,Chassagne-Montrachet,Domaine Hubert Lamy,"1er cru ""Les Chaumées""",2015,20171029,Carré des vins,2,26.3,,53,2019,2023,2028,2030,,,
786,B,1,,Bo5,16,Bourgogne,Saint-Aubin,Domaine Hubert Lamy,"1er cru ""En Remilly""",2015,20171029,Carré des vins,1,16.3,,16,2018,2018,2025,2027+,,,
789,,3,,G9,21,Loire,Chinon,Domaine Philippe Alliet ,Coteau de Noiré,2015,20171104,au Domaine,3,7.0,,21,2022,2025,2032,2035+,,,
790,,3,,G9,18,Loire,Chinon,Domaine Philippe Alliet ,L'Huisserie,2015,20171104,au Domaine,3,6.0,,18,2018,2021,2029,2032,,,
788,,6,,G8,32,Loire,Chinon,Domaine Philippe Alliet ,Vielles Vignes,2015,20171104,au Domaine,6,5.3,,32,,,,,,,
787,B,3,,B1,57,Loire,Savennières,Domaine Coulée de Serrant,,2015,20171104,1jour1vin,3,19.0,,57,2017,2020,2030,2035,,,
792,,3,,A5,45,Rhône,Saint-Joseph,Domaine Bernard Gripa,"Rouge ""Le Berceau""",2015,20171104,Carré des vins,4,15.0,,60,2020,2025,2030,2035+,une b bue en Bretagne le 24 août 2021,,
791,B,2,,M1,15,Rhône,Saint-Joseph,Domaine Bernard Gripa,Blanc,2016,20171104,Carré des vins,2,7.7,,15,2017,2018,2025,2026,,,
795,,1,2,J5,12,Loire,Chinon,Domaine Bernard Baudry,Le Clos Guillot,2014,20171114,au Domaine,2,11.7,,23,,,,,1b bue chez Myriam 15/01/2022 Très appréciée,,
794,,6,,M3,33,Loire,Chinon,Domaine Bernard Baudry,Le Clos Guillot,2015,20171114,au Domaine,6,5.5,,33,,,,,,,
793,,11,,G10&G11,46,Loire,Chinon,Domaine Bernard Baudry,"""Les Grézeaux""",2015,20171114,au Domaine,12,4.2,,50,,,,,,,
796,B,3,,M2,19,Loire,Chinon,Domaine Bernard Baudry,La Croix Boissée  Blanc,2016,20171114,au Domaine,6,6.2,,37,,,,,1b bue chez Myriam 15/01/2022 Très appréciée même par Annik,,
797,,2,,T1,31,Provence,Bandol,Domaine Tempier,La Migoua,2015,20171116,Idealwine,2,15.3,,31,2020,2025,2035,2041+,,,
798,B,1,,T3,11,Bourgogne,Meursault-Blagny,Chapelle de Blagny,1er Cru,2014,20171129,au Domaine,1,10.7,,11,,,,,Vignerons indépendants,,
799,B,2,,T3,38,Bourgogne,Corton Charlemagne,Domaine Jacob,Grand cru,2016,20171129,au Domaine,2,19.0,,38,,,,,,,
802,,1,2,B5,57,Provence,Bandol,Domaine Tempier,Cabassaou,2015,20171218,VcommeVin,1,57.5,,57,2020,2025,2041,2045+,,,
800,,2,2,B5,82,Provence,Bandol,Domaine Tempier,La Tourtine,2014,20171218,VcommeVin,2,40.8,,82,2018,2024,2034,2038+,,,
801,,2,2,B5,81,Provence,Bandol,Domaine Tempier,La Tourtine,2015,20171218,VcommeVin,2,40.5,,81,2019,2025,2035,2039+,,,
804,,0,2,,0,Jura,Vin de France,Domaine Ganevat Anne et Jean-François ,J'en veux encore,2017,20180109,Carré des vins,1,16.3,,16,2018,2018,2021,2023+,bu le 9 mai 21 avec C&V et B&A déjeuner Dampierre. J'ai beaucoup aimé. Original. Côte de bœuf.,,
806,,1,2,L5,15,Jura,Vin de France,Domaine Ganevat Anne et Jean-François ,Le P'tiot Roukin,2017,20180109,Carré des vins,1,15.0,,15,2018,2018,2024,2026,,,
808,,1,,T3,38,Bourgogne,Nuits-saint-Georges,Domaine Emmanuel Rouget,,2015,20180201,Carré des vins,1,38.3,,38,2020,2025,2035,2040+,,,
809,,1,,T3,43,Bourgogne,Vosne-Romanée,Domaine Emmanuel Rouget,,2015,20180201,Carré des vins,1,43.0,,43,2020,2023,2040,2045+,,,
811,,1,,J1,7,Savoie,Chignin-Bergeron,Domaine Gilles Berlioz,Les Friponnes,2016,20180310,Carré des vins,1,7.3,,7,2018,2018,2024,2026,,,
812,,1,,J1,10,Savoie,Mondeuse,Domaine Gilles Berlioz,La Deuse,2016,20180310,Carré des vins,1,10.0,,10,2018,2020,2025,2028,,,
810,B,1,,J1,20,Savoie,Chignin-Bergeron,Domaine Gilles Berlioz,"""Les Christine"" 100% roussane",2016,20180310,Carré des vins,1,19.7,,20,2018,2020,2026,2028+,"bue club vin 05022022: très belle découverte, nez très floral, gras, grande classe",,
814,,1,,T1,12,Roussillon,Vin de pays des Côtes Catalanes,Domaine de l'Horizon,Rouge,2014,20180311,Carré des vins,1,12.0,,12,2018,2020,2030,2034,,,
813,B,2,,T1,24,Roussillon,Vin de pays des Côtes Catalanes,Domaine de l'Horizon,Blanc,2016,20180311,Carré des vins,2,12.0,,24,2018,2020,2026,2030+,,,
817,B,2,,Bo5,30,Bourgogne,Meursault,Domaine Matrot,Blanc ,2015,20180318,Carré des vins,2,15.0,,30,2018,2019,2025,2027+,,,
816,B,1,,T1,6,Bourgogne,Rully,Domaine Jacqueson,Blanc,2016,20180318,Carré des vins,4,5.7,,23,2018,2018,2022,2024+,"1b bue 27 nov 2021 avec Benoit et Aude. Très agréable. 1b bue 05022022 club vin: très expressif, délicieux, très bon rapport qualité/prix",,
451,,1,,G3,2,Chine,,Enduring Pulchitude,,,20180401,en Chine,1,1.7,,2,,,,,,,
819,B,3,,B1,30,Bourgogne,Meursault,Domaine Bouchard,Genevrières,2015,20180422,au Domaine,3,9.9,,30,2018,2019,2025,2027,via Samantha Luna Mendoza,,
932,,1,,Bo2,8,Bordeaux,Pomerol,Château Bellegrave,,2012,20180501,cadeau,1,8.3,,8,2016,2017,2020,2025,cadeau retraite TOSA,,
933,,1,,Bo2,8,Bourgogne,Hautes-Côtes de Nuits,Domaine de l'Arlot,Le Mont,2015,20180501,cadeau,1,8.3,,8,2018,2018,2022,2023,cadeau retraite TOSA,,
,B,1,,Bo2,8,Rhône,Vacqueras,Montirius,Minéral,2015,20180501,cadeau,1,8.0,,8,2019,2019,2030,,cadeau retraite TOSA 50% Bourboulenc – 25% Grenache Blanc – 25% Roussanne,,
821,B,0,,0,0,Bourgogne,Givry,Domaine François Lumpp,Clos des Vignes Rondes,2016,20180503,Carré des vins,1,7.7,,8,2018,2018,2022,2024,,,
820,B,1,2,M4,92,Loire,Pouilly -Fumé,Domaine Didier Dagueneau,Silex,2015,20180503,Carré des vins,1,91.7,,92,2021,2023,2035,2041+,,,
547.1,B,3,,M1,45,Bordeaux,Pauillac,Château Lynch-Bages,Blanc,2016,20180601,,3,15.0,,45,,,,,,,
824,,2,2,S1,112,Bordeaux,Saint-Estèphe,Château Calon Ségur,,2017,20180606,Duclot,2,56.0,,112,2025,2025,2040,2045,primeur à livrer 1er semestre 2020,,
823,,4,,M1,64,Bourgogne,Gevrey-Chambertin,Domaine Pierre Bourée ,Clos de la Justice (Monopole),2015,20180606,au Domaine,2,15.9,,32,,,,,,,
822,B,2,,M1,24,Bourgogne,Meursault,Domaine Pierre Bourée ,,2015,20180606,au Domaine,2,12.2,,24,,,,,,,
825,,4,,T1,29,Languedoc,Terrasse du Larzac,Domaine Vaïsse,L'Aphyllante,2015,20180629,Vaïsse,4,7.3,,29,2018,2020,2026,2030,,,
826,,3,,T1,23,Languedoc,Terrasse du Larzac,Domaine Vaïsse,Le Galibaou du Russe,2015,20180629,Vaïsse,4,7.7,,31,2020,2022,2028,2030+,1b bue chez S.Toulon 070421,,
827,,4,,T1,29,Languedoc,Terrasse du Larzac,Domaine Vaïsse,Pur 100% Carignan,2015,20180629,Vaïsse,4,7.3,,29,2020,2022,2028,2030,,,
829,B,3,,Bo1,28,Bourgogne,Meursault,Domaine Bouchard,Perrières,2015,20180705,au Domaine,0,9.3,,0,2019,2020,2026,2027,via Samantha Luna Mendoza echangé contre 2018,,
830,B,3,,Bo1,15,Bourgogne,Puligny-Montrachet,Domaine Bouchard,,2016,20180705,au Domaine,3,5.0,,15,2019,2020,2026,2027,via Samantha Luna Mendoza,,
836,R,1,,D9,7,Alsace,Alsace,Domaine Trapet,La Chapelle  Pinot noir,2015,20180719,Carré des vins,2,7.3,,15,2018,2018,2023,2025+,,,
831,,1,,T5,25,Bourgogne,Clos de Vougeot,Domaine Bertagna,"1er cru ""Clos de la Perrière"" (Monopole)",2015,20180719,Carré des vins,1,25.0,,25,2020,2025,2035,2040,,,
832,,1,,T5,22,Bourgogne,Clos de Vougeot,Domaine Bertagna,"1er cru ""Les Petits Vougeot""",2015,20180719,Carré des vins,1,21.7,,22,2020,2023,2035,2040,,,
837,,3,,J1,15,Italie,Toscane,Tenuta San Guido,Le Difese,2015,20180719,Carré des vins,3,5.0,,15,2018,2020,2025,2030,,,
833,,1,,T1,8,Languedoc,Terrasse du Larzac,Domaine de Montcalmès,,2015,20180719,Carré des vins,1,8.3,,8,2019,2021,2031,2035+,,,
834,,1,,T1,11,Languedoc,Vin de pays de l'Hérault,La Térasse d'Elise,Les Hauts de Carol's,2015,20180719,Carré des vins,1,10.7,,11,2017,2019,2026,2028+,,,
834.1,,1,,A1,0,Languedoc,Vin de pays de l'Hérault,La Térasse d'Elise,"""XB""",2015,20180719,Carré des vins,1,0.0,,0,2017,2019,2026,2028+,,,
835.1,,5,,A1,25,Loire,Saumur-Champigny,Domaine Pierre-Adrien Vadé,Les Hauts Buts,2015,20180719,Carré des vins,1,5.0,,5,2018,2020,2025,2028,,,
838,B,0,,J1,0,Jura,Vin de France,Domaine Anne et Jean-François Ganevat,La Gravière 100% chardonnay,2015,20180826,Carré des vins,1,9.7,,10,2018,2018,2023,2025+,"Bue le  05022022 club vin . Frizant à l'ouverture, mais très appréciée cependant.",,
839,B,1,2,J1,23,Jura,Vin de France,Domaine Ganevat Anne et Jean-François ,La Gravière 100% chardonnay,2015,20180826,Carré des vins,1,23.0,,23,2018,2018,2023,2025+,Chardonnay,,
840,B,1,,J1,10,Jura,Vin de France,Domaine Ganevat Anne et Jean-François ,Les Cèdres,2015,20180826,Carré des vins,1,10.0,,10,2018,2018,2023,2025+,Chardonnay,,
841,B,1,,J1,9,Jura,Vin de France,Domaine Ganevat Anne et Jean-François ,La Champs poids,2015,20180826,Carré des vins,1,9.3,,9,2018,2018,2023,2025+,Chardonnay,,
842,,1,2,L5,13,Jura,Vin de France,Domaine Ganevat Anne et Jean-François ,Le Jaja du Ben,2015,20180826,Carré des vins,1,13.0,,13,2018?,2018,2025,2026+,,,
843,,2,,J1,13,Jura,Vin de France,Domaine Ganevat Anne et Jean-François ,Madelon,2015,20180826,Carré des vins,2,6.7,,13,2018,2018,2024,2026,,,
844,,1,2,Bo1,23,Loire,Chinon,Domaine Charles Joguet,Clos de la Dioterie,2015,20181003,Idealwine,1,23.3,,23,,,,,"Une merveille : si on avait à définir le chinon idéal, ce serait celui là. Un raffinement floral digne d’un grand cru de pinot noir et un grain de tannin souple et parfaitement intégré à la texture. Long, avec un vrai rebond en bouche, un vin exceptionnel. 18/20 Bettane janvier 2020",,
845,,1,,B5,20,Provence,Bandol,Domaine Tempier,La Migoua,2016,20181023,Carré des vins,1,20.0,,20,2020,2026,2036,2042+,,,
846,,1,,B5,20,Provence,Bandol,Domaine Tempier,La Tourtine,2016,20181023,Carré des vins,1,20.0,,20,2020,2026,2036,2040+,,,
848,,3,,S3,55,Rhône,Côte-Rotie,Domaine Jean-Michel Gérin,La viallière,2016,20181103,Carré des vins,3,18.3,,55,2020,2026,2032,2036,,,
849,,2,,S3,8,Rhône,Vin de France Syrah,Domaine Jean-Michel Gérin,La Champine,2016,20181103,Carré des vins,3,4.0,,12,2018,2018,2022,2024,1b bue chez S.Toulon 070421. Viandé. Très apprécié par Benoit.,,
850,,0,,0,0,Languedoc,(IGP) Côtes de Thongue,Domaine des Capriers,Les Larmes d'Ema,2017,20181105,1jour1vin,2,3.0,,6,2018,2018,2020,2021,,,
852,,3,,A1,30,Rhône,Chateauneuf-du-Pape,Domaine des Sénéchaux,Rouge,2015,20181105,1jour1vin,3,10.0,,30,2018,2021,2030,2035,,,
851,B,1,,A1,8,Rhône,Chateauneuf-du-Pape,Domaine des Sénéchaux,Blanc,2017,20181105,1jour1vin,2,8.3,,17,2018,2018,2021,2022,1b bue avec Benoit et Aude le 27 nov 2021. Bien appréciée.,,
853,,3,,A3,10,Sud-Ouest,Madiran,Domaine Sergent,Cuvée chêne rouge,2015,20181105,1jour1vin,3,3.3,,10,2018,2018,2022,2024,,,
859,,1,2,T1,41,Provence,Bandol,Domaine Tempier,La Tourtine,2016,20181114,VcommeVin,1,40.8,,41,2020,2026,2036,2040+,,,
860,,1,2,T1,41,Provence,Bandol,Domaine Tempier,La Migoua,2016,20181114,VcommeVin,1,40.8,,41,2020,2026,2036,2042+,,,
861,,1,2,B5,58,Provence,Bandol,Domaine Tempier,Cabassaou,2016,20181114,VcommeVin,1,57.8,,58,2022,2023,2042,2046+,voir fiche du 23/10/18,,
863,,2,,T4,18,Beaujolais ,Chirouble,Domaine Jules Métras,Chirouble 2016,2016,20181222,Carré des vins,2,9.2,,18,2018,2020,2028,2030,,,
865,,2,,L1,13,Beaujolais ,Fleurie,Les Bertrand,Cuvée du Chaos,2017,20181222,Carré des vins,3,6.7,,20,2018,2019,2027,2029,,,
862,,2,,L1,9,Beaujolais ,Morgon,Domaine Jean Foillard,Morgon 2016,2016,20181222,Carré des vins,3,4.6,,14,2018,2018,2022,2024,,,
864,,2,,L1,12,Beaujolais ,Morgon,Domaine Marcel Lapierre,Morgon 2017,2017,20181222,Carré des vins,3,6.0,,18,2018,2019,2029,2032+,,,
866,,3,,S3,23,Rhône,Chateauneuf-du-Pape,Domaine de la Solitude,Rouge ,2015,20190113,Ce Perrine Pozzi,3,7.7,,23,2018,2020,2025,2028,,,
868,B,2,,S1,11,Jura,Arbois,Domaine Rijckaert,En Paradis,2017,20190119,1jour1vin,2,5.6,,11,2019,2019,2022,2024,Chardonnay,,
867,B,1,,G1,5,Jura,Côtes du Jura,Domaine Rijckaert,Les Sarres,2017,20190119,1jour1vin,1,5.3,,5,2019,2019,2022,2022,Chardonnay,,
869,B,2,,L1,11,Jura,Côtes du Jura,Domaine Rijckaert,Vignes des Voises Vieilles Vignes ,2017,20190119,1jour1vin,2,5.6,,11,2019,2019,2022,2023,Chardonnay,,
870,,2,,S1,4,Languedoc,Terrasse du Larzac,Mas de Daumas Gassac,(IGP) Ghilhem,2017,20190119,1jour1vin,3,2.0,,6,2019,2019,2020,2020,,,
871,,1,2,Bo3,45,Rhône,Vin de Pays des Alpilles ,Domaine de Trévallon ,Rouge,2015,20190124,Carré des vins,1,45.0,,45,2020,2025,2045,2050+,,,
872,,1,2,Bo3,45,Rhône,Vin de Pays des Alpilles  ,Domaine de Trévallon,Rouge,2015,20190205,Carré des vins,1,45.0,,45,2020,2025,2045,2050+,,,
876,B,1,,J1,43,Jura,Côtes du Jura,Domaine Ganevat Jean-François ,Vin Jaune,2008,20190221,Carré des vins,1,43.0,,43,2020,2028,2058,longtemps,,,
875,B,1,,J1,15,Jura,Vin de France,Domaine Ganevat Jean-François ,Grusse en Billat,2015,20190221,Carré des vins,2,15.0,,30,2019,2019,2025,2028+,Chardonnay,,
877,B doux,1,0.67,T2,23,Afrique du Sud,Vin de Constance,Domaine Klein Constantia,Vin de Constance,2015,20190402,Idealwine,1,23.0,,23,2020,2030,2050,longtemps,Muscat de Frontignan,,
878,,1,,L3,6,Beaujolais ,Morgon,Domaine Marcel Lapierre,Morgon 2018,2018,20190416,Carré des vins,1,6.2,,6,2019,2020,2030,2033+,,,
879,,2,2,Bo1,26,Beaujolais ,Morgon,Domaine Marcel Lapierre,Morgon 2018,2018,20190416,Carré des vins,2,13.0,,26,2019,2020,2030,2033+,,,
879.2,,3,,B4,96,Bordeaux,Pessac-Léognan,Château Les Carmes-Haut-Brion,,2018,20190507,Lavinia,3,32.0,,96,2024,2025,2038,2045,Achat primeur,,
879.1,,3,,B4,101,Bordeaux,Saint-Estèphe,Château Calon-Segur,,2018,20190507,Lavinia,3,33.6,,101,2024,2025,2038,2045,Achat primeur,,
934,,0,,,0,Loire,Menetou-Salon,Domaine Philippe Gilbert,"""Les Renardières"" Rouge",2005,20190601,cadeau,1,8.3,,8,2007,2005,2014,2020,cadeau d'Antoine Guigon. Bu avec FXP le 4 mai 2021. Très bonne facture.,,
882,,6,,Bo2,28,Rhône,IGP Côteaux de l'Ardèche,Château de la Selve,Beau Lieu,2016,20190608,au domaine,6,4.7,,28,2019,2019,2025,2030+,,,
883,Rosé,1,,A2,5,Rhône,IGP Côteaux de l'Ardèche,Château de la Selve,L'audacieuse,2017,20190608,au domaine,1,5.4,,5,2019,2019,2021,,,,
884,B doux,1,,G1,7,Rhône,IGP Côteaux de l'Ardèche,Château de la Selve,Solera MMXI,2017,20190608,au domaine,1,7.1,,7,2019,2025,2040,,Viognier,,
886,,1,,M3,14,Rhône,Chateauneuf-du-Pape,Domaine de la Solitude,Barberini Rouge,2016,20190609,au domaine,1,14.0,,14,2020,2020,2031,,allocation,,
890,,1,,M3,16,Rhône,Chateauneuf-du-Pape,Domaine de la Solitude,Cornelia Constanza,2017,20190609,au domaine,1,16.0,,16,2019,2019,2034,,allocation,,
889,,2,,M3,14,Rhône,Chateauneuf-du-Pape,Domaine de la Solitude,Tradition rouge ,2017,20190609,au domaine,2,7.0,,14,,,,,allocation,,
885,B,3,,B1,42,Rhône,Chateauneuf-du-Pape,Domaine de la Solitude,Barberini Blanc,2016,20190609,au domaine,3,14.0,,42,2017,2019,2025,2025+,,,
888,B,2,,M3,15,Rhône,Chateauneuf-du-Pape,Domaine de la Solitude,Tradition blanc,2018,20190609,au domaine,2,7.7,,15,,,,,allocation,,
894,,1,,L3,2,Italie,Cantina Cinque Terre,Muretti Rosso,Rouge,,20190622,cadeau,1,2.0,,2,2019,2019,2021,,cadeau Krouch,,
891,,1,2,T3,13,Loire,Chinon,Domaine Couly-Duteil,Clos de l'Echo,2011,20190622,cadeau,1,13.3,,13,2019,2025,2035,,cadeau Catherine Ronssin,,
898,B doux,5,,M2,0,Loire,Vouvray,Domaine Huet,Clos des Volets Verts,2018,20190622,cadeau,6,0.0,,0,2019,2019,2025,,cadeau Franck et Patrice Tarbé. 1b bue chez Myriam 15/01/2022. Effervescent melleux c'est pas mon truc!,,
892,,3,,L2,33,Provence,Bandol,Château de Pibarnon,Rouge,2014,20190622,cadeau,3,11.0,,33,2020,2021,2027,,cadeau Henri et Sophie Taborin,,
893,,3,,L2,35,Provence,Bandol,Château de Pibarnon,Rouge,2015,20190622,cadeau,3,11.7,,35,2020,2022,2030,,cadeau Henri et Sophie Taborin,,
897,,1,,J2,0,Suisse,rouge,,Gamaret-Garanoir,,20190622,cadeau,1,0.0,,0,2019,2019,2021,,cadeau L&JP Bicot,,
895,,1,,J2,0,Suisse,,Domaine J&M Dizenens SA-Lutry,Diolinoir,2016,20190622,cadeau,1,0.0,,0,2019,2019,2021,,cadeau L&JP Bicot,,
896,B,0,,J2,0,Suisse,,Domaine Moulin-La Vignette - Lutry,Blanc ,2017,20190622,cadeau,1,0.0,,0,2019,,2021,,cadeau L&JP Bicot. Bue avec F&V le11/11/21. Gentillet honnête. 4/10 ,,
899,,24,,S5,62,Bordeaux,Cru Bourgeois,Château Fleur La Mothe,,2018,20190712,au domaine,24,2.6,,62,2022,,2025-2035,,Primeur via Antoine Guigon,,
942,,1,,Bo4,6,Languedoc,Pic-Saint-Loup,Domaine Mirabel,"""les Eclats""",2017,20190801,au Domaine,1,6.0,,6,2021,2022,2024,2025,,,
901,,2,,T3,18,Bourgogne,Hautes-Côtes-de-Nuits,Domaine Gros Frère et Sœur,,2017,20190901,Carré des vins,2,9.2,,18,2019,2022,2025,2027+,,,
900,,8,,L1,27,Languedoc,Minervois,Domaine de Courbissac,Les Traverses,2017,20190901,Carré des vins,10,3.3,,33,2019,2019,2022,2025,,,
905,B,1,,A5,10,Bordeaux,Pessac-Léognan,Château Latour-Martillac,Blanc,2015,20191004,E. Leclerc,1,9.5,,10,2019,2019,2025,,FAV,,
903,B,0,,,0,Bordeaux,Graves,Clos Floridène,,2016,20191004,E. Leclerc,1,5.5,,6,2019,2020,2022,,FAV_1b bue le 01/10/2021 avec D&C. Bien construit. Agréable.,,
904,B,1,,A5,5,Bordeaux,Graves,Château Chantegrive,Caroline,2018,20191004,E. Leclerc,1,5.3,,5,2019,2020,2022,,FAV,,
907,B,1,,D15,7,Jura,Côtes du Jura,Cave de La Muyre ,Vin Jaune,2010,20191004,E. Leclerc,1,6.7,,7,2019,2025,2040,,FAV,,
906,B,5,,D14 &D15,15,Jura,Côtes du Jura,Domaine Marcel  Cabelier,La côte 39,2018,20191004,E. Leclerc,5,3.0,,15,2019,2019,2025,,FAV,,
910,B,2,,D12,15,Jura,Château Chalon,Domaine Marcel Cabelier,Vin jaune,2009,20191018,Métro,1,7.7,,8,2019,2025,2040,,,,
911,,1,2,L1,22,Beaujolais ,Morgon,Domaine Marcel Lapierre,MMXVIII,2018,20191026,Carré des vins,1,22.0,,22,2021,2025,2033,2039+,,,
912,,1,2,L1,16,Beaujolais ,Morgon,Domaine Marcel Lapierre,Cuvée Camille,2018,20191026,Carré des vins,1,15.6,,16,2019,2019,2029,2033+,,,
915,B,1,,D14,25,Jura,Arbois - Vin Jaune,Domaine Stéphane Tissot ,"""La Mailloche""",2012,20191211,Idealwine,1,24.7,,25,2020,2020,2050,,,,
913,,1,,Bo3,16,Portugal,Porto,Domaine Quevedo,Colheita,1996,20191211,Idealwine,1,16.3,,16,2006,2010,2030,,,,
914,,1,,Bo3,16,Portugal,Porto,Domaine Taylor,Tawny 20 Old Year,,20191211,Idealwine,1,16.3,,16,2006,2010,2030,,,,
724.1,B,2,,K4,,Loire,Chenonceaux,Vignobles Dinocheau,"""Les Pionnières"" sauvignon",2015,20200101,,2,0.0,,,,,,,,,
918,,4,,G7,56,Roussillon,Maury,Domaine l'Archiviste,ambré,1987,20200116,Idealwine,4,14.0,,56,2020,2020,2040,,Grenache noir,,
919,,2,,M5,17,Rhône,Vin de table,Domaine Saladin,Haut Brissan,2018,20200217,au Domaine,2,8.3,,17,2022,2023,2028,,100% Grenache noir,,
920,,2,,M5,13,Rhône,Vin de table,Domaine Saladin,Chaveyron,2018,20200217,au Domaine,2,6.7,,13,2022,2023,2028,,95% Syrah - 5% Viognier,,
921,B,2,,M5,11,Rhône,Vin de table,Domaine Saladin,Per Ei,2018,20200217,au Domaine,2,5.7,,11,2022,2022,2025,,,,
923,,3,,J3,15,Rhône,IGP Ardèche,Mas de Libian,Khayyâm,2018,20200218,au Domaine,3,5.0,,15,2020,2020,2030,,75% Grenache 15% Mourvèdre 10% Syrah,,
924,,3,,J3,22,Rhône,IGP Ardèche,Mas de Libian,Calade,2018,20200218,au Domaine,3,7.3,,22,2020,2020,2030,,90% Mourvèdre 10% Grenache,,
922,B,5,,S4,25,Rhône,IGP Ardèche,Mas de Libian,Cave Vinum,2019,20200218,au Domaine,6,5.0,,30,2020,2020,2025,,en réservation,,
925,B,5,,T4,29,Rhône,Saint Peray,Domaine du Tunnel,100% Roussane ,2018,20200220,au Domaine,6,5.8,,35,2020,2022,2022,,bu chez Pic. 1b bue club vin 05022022 tès appréciée,,
926,,3,,S3,55,Portugal,Porto,Quinta Do Noval,Colheita,2005,20200329,Carre des Vins,3,18.3,,55,2020,2020,2025,2030+,,,
927,,1,2,Bo4,58,Bordeaux,Saint-Estèphe,Château Calon Ségur,,2019,20200611,Duclos,1,58.2,,58,,,,,Acheté en primeur - A livrer S1 2022,,
928,B doux,12,0.5,B2,79,Bordeaux,Sauternes- Barsac,Château  Coutet,,2019,20200611,Duclos,12,6.6,,79,,,,,Acheté en primeur - A livrer S1 2022,,
929,,1,2,B04,90,Bordeaux,Saint-Estèphe,Château Montrose,,2019,20200616,Duclos,1,90.0,,90,,,,,Acheté en primeur - A livrer S1 2022,,
930,B doux,12,0.5,B2,84,Bordeaux,Sauternes,Château  Rayne-Vignaud,,2019,20200625,Duclos,12,7.0,,84,,,,,Acheté en primeur - A livrer S1 2022,,
887.1,,1,,M5,15,Rhône,Chateauneuf-du-Pape,Domaine de la Solitude,Vin de la Solitude,2018,20200701,au domaine,1,15.0,,15,,,,,,,
